country,article_title,date,views
Australia,Australia,20260601,14059
Australia,Australia,20260602,14863
Australia,Australia,20260603,14307
Australia,Australia,20260604,15085
Australia,Australia,20260605,17752
Australia,Australia,20260606,18647
Australia,Australia,20260607,21094
Australia,Australia,20260608,21800
Australia,Australia,20260609,30790
Australia,Australia,20260610,30048
Australia,Australia,20260611,23974
Australia,Australia,20260612,23046
Australia,Australia,20260613,21096
Australia,Australia,20260614,25087
Australia,Australia,20260615,21882
Australia,Australia,20260616,22903
Australia,Australia,20260617,22066
Australia,Australia,20260618,24297
Australia,Australia,20260619,28203
Australia,Australia,20260620,20489
Australia,Australia,20260621,20867
Australia,Australia,20260622,23759
Australia,Australia,20260623,22028
Australia,Australia,20260624,21464
Australia,Australia,20260625,21329
Australia,Australia,20260626,20737
Australia,Australia,20260627,20349
Australia,Australia,20260628,21182
Australia,Australia,20260629,21222
Australia,Australia,20260630,21101
Australia,Australia,20260701,20525
Australia,Australia,20260702,21383
Australia,Australia,20260703,31700
Australia,Australia,20260704,20770
Australia,Australia,20260705,20625
Australia,Australia,20260706,20298
Australia,Australia,20260707,19690
Australia,Australia,20260708,23982
Australia,Australia,20260709,23865
Australia,Australia,20260710,19824
Australia,Australia,20260711,18574
Australia,Australia,20260712,21739
Australia,Australia,20260713,19281
Australia,Australia,20260714,18509
Australia,Australia,20260715,16239
Australia,Australia,20260716,18892
Australia,Australia,20260717,19101
Australia,Australia,20260718,20615
Australia,Australia,20260719,17715
Australia,Australia,20260720,17530
Australia,Australia,20260721,17557
Australia,Australia,20260722,16397
Australia,Australia,20260723,16869
Australia,Australia,20260724,17923
Australia,Australia,20260725,16281
Australia,Australia,20260726,17391
Australia,Australia,20260727,18128
Australia,Australia,20260728,19978
Australia,Australia,20260729,20059
Australia,Australia,20260730,19887
Belgium,Belgium,,0
Belgium,Belgium,20260601,6593
Belgium,Belgium,20260602,7132
Belgium,Belgium,20260603,7238
Belgium,Belgium,20260604,6915
Belgium,Belgium,20260605,6805
Belgium,Belgium,20260606,6715
Belgium,Belgium,20260607,6514
Belgium,Belgium,20260608,8530
Belgium,Belgium,20260609,7515
Belgium,Belgium,20260610,6956
Belgium,Belgium,20260611,7814
Belgium,Belgium,20260612,7228
Belgium,Belgium,20260613,7343
Belgium,Belgium,20260614,8537
Belgium,Belgium,20260615,23529
Belgium,Belgium,20260616,10290
Belgium,Belgium,20260617,8630
Belgium,Belgium,20260618,7721
Belgium,Belgium,20260619,7292
Belgium,Belgium,20260620,7979
Belgium,Belgium,20260621,23177
Belgium,Belgium,20260622,10578
Belgium,Belgium,20260623,8021
Belgium,Belgium,20260624,8009
Belgium,Belgium,20260625,7914
Belgium,Belgium,20260626,7580
Belgium,Belgium,20260627,16754
Belgium,Belgium,20260628,8315
Belgium,Belgium,20260629,7854
Belgium,Belgium,20260630,9381
Belgium,Belgium,20260701,40025
Belgium,Belgium,20260702,21380
Belgium,Belgium,20260703,11161
Belgium,Belgium,20260704,10473
Belgium,Belgium,20260705,11728
Belgium,Belgium,20260706,35420
Belgium,Belgium,20260707,117296
Belgium,Belgium,20260708,21105
Belgium,Belgium,20260709,14611
Belgium,Belgium,20260710,52514
Belgium,Belgium,20260711,18594
Belgium,Belgium,20260712,10339
Belgium,Belgium,20260713,9337
Belgium,Belgium,20260714,9170
Belgium,Belgium,20260715,8635
Belgium,Belgium,20260716,7899
